Id,Nombre,Precio,Precio Pack,Formato,Categoria,Supermercado,Url,Url_imagen
574677,"Cola blanca transparente CEYS, 250ml.",3.39,,,cervezas vinos y licores,Alcampo,https://www.compraonline.alcampo.es/products/cola-blanca-transparente-ceys-250ml/94c56633-a172-4f22-99bf-ce79632af854,https://www.compraonline.alcampo.es/images-v3/37ea0506-72ec-4543-93c8-a77bb916ec12/4328847c-cc2a-4d9a-b8a8-ac9e502c4d1f/300x300.jpg
905290,SUROLIVA Aceite de oliva virgen extra garrafa 5 l .,20.95,,,Folletos y Promociones,Alcampo,https://www.compraonline.alcampo.es/products/suroliva-aceite-de-oliva-virgen-extra-garrafa-5-l-/f8fc7676-a4c1-43cb-a9bc-527346017d96,https://www.compraonline.alcampo.es/images-v3/37ea0506-72ec-4543-93c8-a77bb916ec12/d94a3cb2-62a8-44da-af16-2ee11b3640f4/300x300.jpg
574675,"Cola blanca transparente CEYS, 125ml.",2.85,,,cervezas vinos y licores,Alcampo,https://www.compraonline.alcampo.es/products/cola-blanca-transparente-ceys-125ml/c6c88116-11ec-4ef4-ba9c-f43b5aace2d2,https://www.compraonline.alcampo.es/images-v3/37ea0506-72ec-4543-93c8-a77bb916ec12/642480d5-2041-4687-9fd5-4c580a0aa231/300x300.jpg
575308,"Cola para madera CEYS profesional, 250grs.",5.25,,,cervezas vinos y licores,Alcampo,https://www.compraonline.alcampo.es/products/cola-para-madera-ceys-profesional-250grs/0bbd1f74-d6d7-4548-8167-ed71d2c8f4e2,https://www.compraonline.alcampo.es/images-v3/37ea0506-72ec-4543-93c8-a77bb916ec12/20c9b6ef-399b-479b-a18e-195295b42972/300x300.jpg
33030,MAHOU 5 ESTRELLAS Cerveza Lata 33 Centilitros,0.80,,,Folletos y Promociones,Alcampo,https://www.compraonline.alcampo.es/products/mahou-5-estrellas-cerveza-lata-33-centilitros/9c3554b9-6468-493d-be54-6f8e79d8cd3c,https://www.compraonline.alcampo.es/images-v3/37ea0506-72ec-4543-93c8-a77bb916ec12/0ace7a5d-d188-4d5e-8752-67fcf598766c/300x300.jpg
632438,RANA Gourmet Raviolis de pasta fresca rellenos guiso de carrilleras de ternera 250 g.,2.99,,,Folletos y Promociones,Alcampo,https://www.compraonline.alcampo.es/products/rana-gourmet-raviolis-de-pasta-fresca-rellenos-guiso-de-carrilleras-de-ternera-250-g/56c1405e-9a45-4298-82eb-ff4a10f454f4,https://www.compraonline.alcampo.es/images-v3/37ea0506-72ec-4543-93c8-a77bb916ec12/2ff8bb34-c3df-4ba0-83bb-d18900cc934e/300x300.jpg
80077,"Filetes 1ªA de vaca, ideales para plancha o freir",7.18,,,Folletos y Promociones,Alcampo,https://www.compraonline.alcampo.es/products/filetes-1a-de-vaca-ideales-para-plancha-o-freir/883752e0-17d2-4d56-bdb2-9cd5d7cadf41,https://www.compraonline.alcampo.es/images-v3/37ea0506-72ec-4543-93c8-a77bb916ec12/92da3660-b63e-4c92-9393-fc655fdb9541/300x300.jpg
895438,SCOTTEX Megarollo Papel higiénico que dura dos veces más y tiene textura Onda suave 16 rollos.,6.99,,,Folletos y Promociones,Alcampo,https://www.compraonline.alcampo.es/products/scottex-megarollo-papel-higienico-que-dura-dos-veces-mas-y-tiene-textura-onda-suave-16-rollos/c5b890c3-6604-4a42-a184-f31cabd0e772,https://www.compraonline.alcampo.es/images-v3/37ea0506-72ec-4543-93c8-a77bb916ec12/dbc8f275-789a-487b-a86c-5fe1ddbe718a/300x300.jpg
49089,NIVEA Men dry impact Desodorante en spray para hombre antitranspirante hasta 72 horas 200 ml.,2.80,,,Folletos y Promociones,Alcampo,https://www.compraonline.alcampo.es/products/nivea-men-dry-impact-desodorante-en-spray-para-hombre-antitranspirante-hasta-72-horas-200-ml/6aae2ca0-3f3b-4ab6-a7ce-8c8b58b25279,https://www.compraonline.alcampo.es/images-v3/37ea0506-72ec-4543-93c8-a77bb916ec12/71c0dda2-d637-46e1-8b97-2bd7d54e201e/300x300.jpg
67020,LA COCINERA Croquetas artesanas de jamón ibérico (100% nacional) Recetas artesanas 400 g.,4.65,,,Folletos y Promociones,Alcampo,https://www.compraonline.alcampo.es/products/la-cocinera-croquetas-artesanas-de-jamon-iberico-100-nacional-recetas-artesanas-400-g/ee363037-00a2-40eb-8e12-cf0e27058dae,https://www.compraonline.alcampo.es/images-v3/37ea0506-72ec-4543-93c8-a77bb916ec12/8e3d4b84-c574-4516-9d35-ff1a43ff1f75/300x300.jpg
