Id,Nombre,Precio,Precio Pack,Formato,Categoria,Supermercado,Url,Url_imagen
529921745,Banana a granel 1 Kg aprox,"1,50 €","1,50 €",kg,/supermercado/el-mercado-promocion/F-10flZ13rjo/c,Carrefour,https://www.carrefour.es/supermercado/banana-a-granel-1-kg-aprox/R-529921745/p,https://static.carrefour.es/hd_350x_/img_pim_food/035834_00_1.jpg
fprod1480224,Mandarina Carrefour a granel 1 kg aprox,"1,99 €","1,99 €",kg,/supermercado/el-mercado-promocion/F-10flZ13rjo/c,Carrefour,https://www.carrefour.es/supermercado/mandarina-carrefour-a-granel-1-kg-aprox/R-fprod1480224/p,https://static.carrefour.es/hd_350x_/img_pim_food/235316_00_1.jpg
VC4AECOMM-100125,Tomate ensalada Carrefour 1 kg aprox,"1,95 €","1,95 €",kg,/supermercado/el-mercado-promocion/F-10flZ13rjo/c,Carrefour,https://www.carrefour.es/supermercado/tomate-ensalada-carrefour-1-kg-aprox/R-VC4AECOMM-100125/p,https://static.carrefour.es/hd_350x_/img_pim_food/100125_00_1.jpg
596701537,Patata lavada para todo uso Carrefour El Mercado 3 kg,"2,67 €","0,89 €",kg,/supermercado/el-mercado-promocion/F-10flZ13rjo/c,Carrefour,https://www.carrefour.es/supermercado/patata-lavada-para-todo-uso-carrefour-el-mercado-3-kg/R-596701537/p,https://static.carrefour.es/hd_350x_/img_pim_food/343849_00_1.jpg
VC4AECOMM-588832,Queso gouda tierno en lonchas Carrefour Classic 300 g.,"2,55 €","8,50 €",kg,/supermercado/el-mercado-promocion/F-10flZ13rjo/c,Carrefour,https://www.carrefour.es/supermercado/queso-gouda-tierno-en-lonchas-carrefour-classic-300-g/R-VC4AECOMM-588832/p,https://static.carrefour.es/hd_350x_/img_pim_food/588832_00_1.jpg
VC4AECOMM-433734,Pan de Pueblo sin aditivos 1 ud.,"1,45 €","1,81 €",kg,/supermercado/el-mercado-promocion/F-10flZ13rjo/c,Carrefour,https://www.carrefour.es/supermercado/pan-de-pueblo-sin-aditivos-1-ud/R-VC4AECOMM-433734/p,https://static.carrefour.es/hd_350x_/img_pim_food/433734_00_1.jpg
VC4AECOMM-430552,Mango Carrefour a granel 1 kg aprox,"2,49 €","2,49 €",kg,/supermercado/el-mercado-promocion/F-10flZ13rjo/c,Carrefour,https://www.carrefour.es/supermercado/mango-carrefour-a-granel-1-kg-aprox/R-VC4AECOMM-430552/p,https://static.carrefour.es/hd_350x_/img_pim_food/430552_00_1.jpg
VC4AECOMM-588833,Queso edam en lonchas Carrefour Classic 300 g.,"2,19 €","7,30 €",kg,/supermercado/el-mercado-promocion/F-10flZ13rjo/c,Carrefour,https://www.carrefour.es/supermercado/queso-edam-en-lonchas-carrefour-classic-300-g/R-VC4AECOMM-588833/p,https://static.carrefour.es/hd_350x_/img_pim_food/588833_00_1.jpg
529921851,Manzana pink lady a granel 1 kg aprox,"2,89 €","2,89 €",kg,/supermercado/el-mercado-promocion/F-10flZ13rjo/c,Carrefour,https://www.carrefour.es/supermercado/manzana-pink-lady-a-granel-1-kg-aprox/R-529921851/p,https://static.carrefour.es/hd_350x_/img_pim_food/407353_00_1.jpg
VC4AECOMM-711046,Jamón curado en lonchas 1954 ElPozo sin gluten y sin lactosa 225 g,"4,65 €","20,67 €",kg,/supermercado/el-mercado-promocion/F-10flZ13rjo/c,Carrefour,https://www.carrefour.es/supermercado/jamon-curado-en-lonchas-1954-elpozo-sin-gluten-y-sin-lactosa-225-g/R-VC4AECOMM-711046/p,https://static.carrefour.es/hd_350x_/img_pim_food/711046_00_1.jpg
628108203,Dorada de ración Carrefour 600 g aprox,"5,31 €","8,85 €",kg,/supermercado/el-mercado-promocion/F-10flZ13rjo/c,Carrefour,https://www.carrefour.es/supermercado/dorada-de-racion-carrefour-600-g-aprox/R-628108203/p,https://static.carrefour.es/hd_350x_/img_pim_food/033389_00_1.jpg
715505824,Berlinas bombón Donuts 4 ud.,"2,85 €","12,95 €",kg,/supermercado/el-mercado-promocion/F-10flZ13rjo/c,Carrefour,https://www.carrefour.es/supermercado/berlinas-bombon-donuts-4-ud/R-715505824/p,https://static.carrefour.es/hd_350x_/img_pim_food/488506_00_1.jpg
531731258,Salmón 3 kg aprox,"32,85 €","10,95 €",kg,/supermercado/el-mercado-promocion/F-10flZ13rjo/c,Carrefour,https://www.carrefour.es/supermercado/salmon-3-kg-aprox/R-531731258/p,https://static.carrefour.es/hd_350x_/img_pim_food/145070_00_1.jpg
590204453,Berlina Fondant Donuts 204 g.,"2,85 €","13,97 €",kg,/supermercado/el-mercado-promocion/F-10flZ13rjo/c,Carrefour,https://www.carrefour.es/supermercado/berlina-fondant-donuts-204-g/R-590204453/p,https://static.carrefour.es/hd_350x_/img_pim_food/153863_00_1.jpg
584501555,Limón ecológico Carrefour Bio 500 g,"1,49 €","2,98 €",kg,/supermercado/el-mercado-promocion/F-10flZ13rjo/c,Carrefour,https://www.carrefour.es/supermercado/limon-ecologico-carrefour-bio-500-g/R-584501555/p,https://static.carrefour.es/hd_350x_/img_pim_food/738651_00_1.jpg
VC4AECOMM-699370,Pechuga de pavo cocida en lonchas Campofrío Finíssimas sin gluten y sin lactosa 110 g,"2,15 €","19,55 €",kg,/supermercado/el-mercado-promocion/F-10flZ13rjo/c,Carrefour,https://www.carrefour.es/supermercado/pechuga-de-pavo-cocida-en-lonchas-campofrio-finissimas-sin-gluten-y-sin-lactosa-110-g/R-VC4AECOMM-699370/p,https://static.carrefour.es/hd_350x_/img_pim_food/699370_00_1.jpg
VC4AECOMM-699384,Jamón cocido extra en lonchas Campofrío Finíssimas sin gluten y sin lactosa 115 g,"2,15 €","18,70 €",kg,/supermercado/el-mercado-promocion/F-10flZ13rjo/c,Carrefour,https://www.carrefour.es/supermercado/jamon-cocido-extra-en-lonchas-campofrio-finissimas-sin-gluten-y-sin-lactosa-115-g/R-VC4AECOMM-699384/p,https://static.carrefour.es/hd_350x_/img_pim_food/699384_00_1.jpg
VC4AECOMM-679647,Lomo de cerdo adobado extra en filetes Carrefour 500 g aprox,"3,37 €","6,75 €",kg,/supermercado/el-mercado-promocion/F-10flZ13rjo/c,Carrefour,https://www.carrefour.es/supermercado/lomo-de-cerdo-adobado-extra-en-filetes-carrefour-500-g-aprox/R-VC4AECOMM-679647/p,https://static.carrefour.es/hd_350x_/img_pim_food/679647_00_1.jpg
521031158,Salchichas cocidas Jumbo Classic Oscar Mayer sin gluten sin lactosa 350 g.,"2,59 €","7,40 €",kg,/supermercado/el-mercado-promocion/F-10flZ13rjo/c,Carrefour,https://www.carrefour.es/supermercado/salchichas-cocidas-jumbo-classic-oscar-mayer-sin-gluten-sin-lactosa-350-g/R-521031158/p,https://static.carrefour.es/hd_350x_/img_pim_food/003294_00_1.jpg
536500299,Jamón cocido extra sin fosfatos Bonnatur Argal al corte 150 g aprox,"1,87 €","12,48 €",kg,/supermercado/el-mercado-promocion/F-10flZ13rjo/c,Carrefour,https://www.carrefour.es/supermercado/jamon-cocido-extra-sin-fosfatos-bonnatur-argal-al-corte-150-g-aprox/R-536500299/p,https://static.carrefour.es/hd_350x_/img_pim_food/640707_00_1.jpg
VC4AECOMM-193022,Jamón cocido extra en lonchas 1954 Premium Gourmet ElPozo sin gluten y sin lactosa 130 g,"2,99 €",23 €,kg,/supermercado/el-mercado-promocion/F-10flZ13rjo/c,Carrefour,https://www.carrefour.es/supermercado/jamon-cocido-extra-en-lonchas-1954-premium-gourmet-elpozo-sin-gluten-y-sin-lactosa-130-g/R-VC4AECOMM-193022/p,https://static.carrefour.es/hd_350x_/img_pim_food/193022_00_1.jpg
prod1000454,Jengibre ecológico 200 g,"1,29 €","6,45 €",kg,/supermercado/el-mercado-promocion/F-10flZ13rjo/c,Carrefour,https://www.carrefour.es/supermercado/jengibre-ecologico-200-g/R-prod1000454/p,https://static.carrefour.es/hd_350x_/img_pim_food/080049_00_1.jpg
VC4AECOMM-084161,Jamón cocido extra en lonchas Carrefour El Mercado 180 g,"2,75 €","15,28 €",kg,/supermercado/el-mercado-promocion/F-10flZ13rjo/c,Carrefour,https://www.carrefour.es/supermercado/jamon-cocido-extra-en-lonchas-carrefour-el-mercado-180-g/R-VC4AECOMM-084161/p,https://static.carrefour.es/hd_350x_/img_pim_food/084161_00_1.jpg
VC4AECOMM-695342,Pechuga de pavo braseada en lonchas Campofrío Finíssimas sin gluten y sin lactosa 110 g,"2,15 €","19,55 €",kg,/supermercado/el-mercado-promocion/F-10flZ13rjo/c,Carrefour,https://www.carrefour.es/supermercado/pechuga-de-pavo-braseada-en-lonchas-campofrio-finissimas-sin-gluten-y-sin-lactosa-110-g/R-VC4AECOMM-695342/p,https://static.carrefour.es/hd_350x_/img_pim_food/695342_00_1.jpg
521032507,Jamón de cerdo troceado Carrefour 600 g aprox,"3,29 €","5,49 €",kg,/supermercado/el-mercado-promocion/F-10flZ13rjo/c,Carrefour,https://www.carrefour.es/supermercado/jamon-de-cerdo-troceado-carrefour-600-g-aprox/R-521032507/p,https://static.carrefour.es/hd_350x_/img_pim_food/047350_00_1.jpg
VC4AECOMM-552682,Ensaladilla rusa 300 g,"2,15 €","7,17 €",kg,/supermercado/el-mercado-promocion/F-10flZ13rjo/c,Carrefour,https://www.carrefour.es/supermercado/ensaladilla-rusa-300-g/R-VC4AECOMM-552682/p,https://static.carrefour.es/hd_350x_/img_pim_food/552682_00_1.jpg
521032495,Chuleta de aguja de cerdo Carrefour 1 kg aprox,"5,19 €","5,19 €",kg,/supermercado/el-mercado-promocion/F-10flZ13rjo/c,Carrefour,https://www.carrefour.es/supermercado/chuleta-de-aguja-de-cerdo-carrefour-1-kg-aprox/R-521032495/p,https://static.carrefour.es/hd_350x_/img_pim_food/149007_00_1.jpg
VC4AECOMM-084160,Jamón cocido extra ahumado a la leña en lonchas Carrefour El Mercado 180 g,"2,75 €","15,28 €",kg,/supermercado/el-mercado-promocion/F-10flZ13rjo/c,Carrefour,https://www.carrefour.es/supermercado/jamon-cocido-extra-ahumado-a-la-lena-en-lonchas-carrefour-el-mercado-180-g/R-VC4AECOMM-084160/p,https://static.carrefour.es/hd_350x_/img_pim_food/084160_00_1.jpg
VC4AECOMM-709416,Chorizo casero extra sarta Palacios 250 g.,"3,95 €","15,80 €",kg,/supermercado/el-mercado-promocion/F-10flZ13rjo/c,Carrefour,https://www.carrefour.es/supermercado/chorizo-casero-extra-sarta-palacios-250-g/R-VC4AECOMM-709416/p,https://static.carrefour.es/hd_350x_/img_pim_food/709416_00_1.jpg
VC4AECOMM-695366,Jamón cocido extra en lonchas Campofrío Finíssimas sin gluten y sin lactosa 170 g,"3,05 €","17,94 €",kg,/supermercado/el-mercado-promocion/F-10flZ13rjo/c,Carrefour,https://www.carrefour.es/supermercado/jamon-cocido-extra-en-lonchas-campofrio-finissimas-sin-gluten-y-sin-lactosa-170-g/R-VC4AECOMM-695366/p,https://static.carrefour.es/hd_350x_/img_pim_food/695366_00_1.jpg
616401668,Piña del Monte zero pieza 2 Kg aprox,"3,78 €","1,89 €",kg,/supermercado/el-mercado-promocion/F-10flZ13rjo/c,Carrefour,https://www.carrefour.es/supermercado/pina-del-monte-zero-pieza-2-kg-aprox/R-616401668/p,https://static.carrefour.es/hd_350x_/img_pim_food/017004_00_1.jpg
VC4AECOMM-695362,Pechuga de pavo cocida en lonchas Campofrío Finíssimas sin gluten y sin lactosa 165 g,"3,05 €","18,48 €",kg,/supermercado/el-mercado-promocion/F-10flZ13rjo/c,Carrefour,https://www.carrefour.es/supermercado/pechuga-de-pavo-cocida-en-lonchas-campofrio-finissimas-sin-gluten-y-sin-lactosa-165-g/R-VC4AECOMM-695362/p,https://static.carrefour.es/hd_350x_/img_pim_food/695362_00_1.jpg
prod1130685,Jamón de Cebo Ibérico 50% Raza Ibérica en lonchas Sánchez Alcaraz sin gluten y sin lactosa 200 g,"13,89 €","69,45 €",kg,/supermercado/el-mercado-promocion/F-10flZ13rjo/c,Carrefour,https://www.carrefour.es/supermercado/jamon-de-cebo-iberico-50-raza-iberica-en-lonchas-sanchez-alcaraz-sin-gluten-y-sin-lactosa-200-g/R-prod1130685/p,https://static.carrefour.es/hd_350x_/img_pim_food/192695_00_1.jpg
VC4AECOMM-710118,Jamón cocido extra en lonchas El Pozo sin gluten y sin lactosa 225 g,"2,79 €","13,95 €",kg,/supermercado/el-mercado-promocion/F-10flZ13rjo/c,Carrefour,https://www.carrefour.es/supermercado/jamon-cocido-extra-en-lonchas-el-pozo-sin-gluten-y-sin-lactosa-225-g/R-VC4AECOMM-710118/p,https://static.carrefour.es/hd_350x_/img_pim_food/710118_00_1.jpg
529043343,Langostino cocido (40/60 ud) 1 kg aprox ,"8,49 €","8,49 €",kg,/supermercado/el-mercado-promocion/F-10flZ13rjo/c,Carrefour,https://www.carrefour.es/supermercado/langostino-cocido-40-60-ud-1-kg-aprox/R-529043343/p,https://static.carrefour.es/hd_350x_/img_pim_food/231984_00_1.jpg
prod760590,Napolitana bombón Carrefour 4 ud,"3,15 €","0,79 €",ud,/supermercado/el-mercado-promocion/F-10flZ13rjo/c,Carrefour,https://www.carrefour.es/supermercado/napolitana-bombon-carrefour-4-ud/R-prod760590/p,https://static.carrefour.es/hd_350x_/img_pim_food/862471_00_1.jpg
VC4AECOMM-354192,Remolacha entera cocida ecológica Carrefour Bio 500 g,"1,09 €","2,18 €",kg,/supermercado/el-mercado-promocion/F-10flZ13rjo/c,Carrefour,https://www.carrefour.es/supermercado/remolacha-entera-cocida-ecologica-carrefour-bio-500-g/R-VC4AECOMM-354192/p,https://static.carrefour.es/hd_350x_/img_pim_food/354192_00_1.jpg
VC4AECOMM-710119,Pechuga de pavo en lonchas El Pozo sin gluten 225 g,"2,79 €","13,95 €",kg,/supermercado/el-mercado-promocion/F-10flZ13rjo/c,Carrefour,https://www.carrefour.es/supermercado/pechuga-de-pavo-en-lonchas-el-pozo-sin-gluten-225-g/R-VC4AECOMM-710119/p,https://static.carrefour.es/hd_350x_/img_pim_food/710119_00_1.jpg
VC4AECOMM-164384,Pechuga de pavo en lonchas extrafinas Carrefour El Mercado sin gluten 100 g,"2,89 €","32,11 €",kg,/supermercado/el-mercado-promocion/F-10flZ13rjo/c,Carrefour,https://www.carrefour.es/supermercado/pechuga-de-pavo-en-lonchas-extrafinas-carrefour-el-mercado-sin-gluten-100-g/R-VC4AECOMM-164384/p,https://static.carrefour.es/hd_350x_/img_pim_food/164384_00_1.jpg
784417842,Chuletón de vacuno 400 g aprox,"7,80 €","19,49 €",kg,/supermercado/el-mercado-promocion/F-10flZ13rjo/c,Carrefour,https://www.carrefour.es/supermercado/chuleton-de-vacuno-400-g-aprox/R-784417842/p,https://static.carrefour.es/hd_350x_/img_pim_food/395751_00_1.jpg
600709102,Patata ecológica Carrefour Bio 2 kg,"1,99 €","0,99 €",kg,/supermercado/el-mercado-promocion/F-10flZ13rjo/c,Carrefour,https://www.carrefour.es/supermercado/patata-ecologica-carrefour-bio-2-kg/R-600709102/p,https://static.carrefour.es/hd_350x_/img_pim_food/048513_00_1.jpg
VC4AECOMM-695365,Pechuga de pavo braseado en lonchas Campofrío Finíssimas sin gluten y sin lactosa 165 g,"3,05 €","18,48 €",kg,/supermercado/el-mercado-promocion/F-10flZ13rjo/c,Carrefour,https://www.carrefour.es/supermercado/pechuga-de-pavo-braseado-en-lonchas-campofrio-finissimas-sin-gluten-y-sin-lactosa-165-g/R-VC4AECOMM-695365/p,https://static.carrefour.es/hd_350x_/img_pim_food/695365_00_1.jpg
prod1040496,Jamón cocido extra braseado en lonchas Campofrío Finíssimas sin gluten y sin lactosa 115 g,"2,15 €","18,70 €",kg,/supermercado/el-mercado-promocion/F-10flZ13rjo/c,Carrefour,https://www.carrefour.es/supermercado/jamon-cocido-extra-braseado-en-lonchas-campofrio-finissimas-sin-gluten-y-sin-lactosa-115-g/R-prod1040496/p,https://static.carrefour.es/hd_350x_/img_pim_food/694984_00_1.jpg
521030596,Queso fundido en porciones La Vaca Que Ríe sin gluten 250 g.,"3,09 €","12,36 €",kg,/supermercado/el-mercado-promocion/F-10flZ13rjo/c,Carrefour,https://www.carrefour.es/supermercado/queso-fundido-en-porciones-la-vaca-que-rie-sin-gluten-250-g/R-521030596/p,https://static.carrefour.es/hd_350x_/img_pim_food/002772_00_1.jpg
VC4AECOMM-370330,Patatas 5 kg aprox,"3,45 €","0,69 €",kg,/supermercado/el-mercado-promocion/F-10flZ13rjo/c,Carrefour,https://www.carrefour.es/supermercado/patatas-5-kg-aprox/R-VC4AECOMM-370330/p,https://static.carrefour.es/hd_350x_/img_pim_food/370330_00_1.jpg
521030744,Queso tierno en porciones Mini Babybel 120 g,"2,89 €","24,08 €",kg,/supermercado/el-mercado-promocion/F-10flZ13rjo/c,Carrefour,https://www.carrefour.es/supermercado/queso-tierno-en-porciones-mini-babybel-120-g/R-521030744/p,https://static.carrefour.es/hd_350x_/img_pim_food/221478_00_1.jpg
VC4AECOMM-268581,Pechugas de pavo marinadas al pimentón Carrefour 500 g aprox,"4,24 €","8,49 €",kg,/supermercado/el-mercado-promocion/F-10flZ13rjo/c,Carrefour,https://www.carrefour.es/supermercado/pechugas-de-pavo-marinadas-al-pimenton-carrefour-500-g-aprox/R-VC4AECOMM-268581/p,https://static.carrefour.es/hd_350x_/img_pim_food/268581_00_1.jpg
600709262,Aguacate ecológico Carrefour 420 g,"2,79 €","6,64 €",kg,/supermercado/el-mercado-promocion/F-10flZ13rjo/c,Carrefour,https://www.carrefour.es/supermercado/aguacate-ecologico-carrefour-420-g/R-600709262/p,https://static.carrefour.es/hd_350x_/img_pim_food/738678_00_1.jpg
prod630151,Mejillón fresco ecológico Carrefour Bio 1 kg,"2,59 €","2,59 €",kg,/supermercado/el-mercado-promocion/F-10flZ13rjo/c,Carrefour,https://www.carrefour.es/supermercado/mejillon-fresco-ecologico-carrefour-bio-1-kg/R-prod630151/p,https://static.carrefour.es/hd_350x_/img_pim_food/843575_00_1.jpg
